Vendor ID,Email Address,COMPANY,ARRIVED,STATUS
V01,dexter.eulin@paradoxhotels.com,Paradox Hotel Vancouver,x,Local
V02,gina@tourismnanaimo.com,Tourism Nanaimo,x,Local
V03,vir.shah@deltahotels.com,Delta Hotels By Marriott Calgary Downtown,x,Not Local
V04,samantha@bcha.com,BC Hotel Association,x,Local
V05,karine.huard@cornercollection.com,Corner Collection,x,Not Local
V06,dharlos@thejosie.com,"The Josie Hotel, Autograph Collection",x,Local
V07,karen.davy@meetinpenticton.com,Meet in Penticton,x,Local
V08,alexchartier@livenation.com,Live Nation,x,Local
V09,dos@bluehorizonhotel.com,Blue Horizon Hotel,x,Local
V10,orest@stayinregina.com,Events Regina,x,Not Local
V11,trina.wylie@hyatt.com,Hyatt Regency Vancouver,x,Local
V12,jennifer.halinda@aldestahotels.com,Aldesta Hotels and Resorts,x,Local
V13,asoria@discoversaskatoon.com,Discover Saskatoon,x,Not Local
V14,chase.myhill@aircanada.ca,Air Canada,x,Local
V15,lduff@tourismwhistler.com,Tourism Whistler,x,Local
V16,lwade@grousemountain.com,Grouse Mountain Resorts,x,Local
V17,meetings@tourismkamloops.com,Tourism Kamloops,x,Local
V18,suzanne@sgtravelcom.com,Pacific Yacht Charters / PYC Catering,x,Local
V19,klaferriere@mtl.org,Tourisme Montreal,x,Not Local
V20,grace.williams@hilton.com,Four Points by Sheraton & Hampton Inn & Suites by Hilton Kelowna Airport,x,Local
V21,jp@chairmanmills.com,Chair-man Mills Corp.,x,Local
